MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO
15-03-2013,GNV,2043,R$/m3,1.776,0.165,1.399,2.599,0.424,0.093,1.352,0.152,0.952,2.222,0.112
15-03-2013,DIESEL,26438,R$/l,2.301,0.118,1.949,2.990,0.264,0.051,2.037,0.087,1.680,2.602,0.043
15-03-2013,DIESEL_S10,7374,R$/l,2.388,0.125,2.029,3.050,0.268,0.052,2.120,0.090,1.889,2.570,0.042
15-04-2013,ETANOL_HIDRATADO,36797,R$/l,2.064,0.238,1.580,3.160,0.262,0.115,1.802,0.220,1.300,2.660,0.122
15-04-2013,GASOLINA_COMUM,39290,R$/l,2.876,0.152,2.390,3.939,0.397,0.053,2.479,0.103,2.078,2.950,0.042
15-04-2013,GLP,35620,R$/13kg,40.743,4.123,27.000,62.000,10.821,0.101,29.922,4.567,14.660,45.000,0.153
15-04-2013,GNV,2435,R$/m3,1.784,0.167,1.399,2.599,0.411,0.094,1.373,0.165,0.952,2.222,0.120
15-04-2013,DIESEL,29656,R$/l,2.332,0.114,1.899,3.020,0.272,0.049,2.060,0.084,1.638,2.690,0.041
15-04-2013,DIESEL_S10,9488,R$/l,2.426,0.123,2.150,3.100,0.268,0.051,2.158,0.090,1.710,2.638,0.042
15-05-2013,ETANOL_HIDRATADO,36036,R$/l,2.029,0.261,1.389,3.160,0.301,0.129,1.728,0.265,1.235,2.660,0.153
15-05-2013,GASOLINA_COMUM,38624,R$/l,2.862,0.160,2.329,3.929,0.396,0.056,2.466,0.111,2.100,2.980,0.045
15-05-2013,GLP,36658,R$/13kg,40.899,4.173,27.000,62.000,10.937,0.102,29.962,4.706,15.870,45.000,0.157
15-05-2013,GNV,2215,R$/m3,1.777,0.159,1.379,2.599,0.415,0.089,1.362,0.157,0.952,1.872,0.115
15-05-2013,DIESEL,28753,R$/l,2.333,0.114,1.969,3.060,0.274,0.049,2.059,0.082,1.650,2.607,0.040
15-05-2013,DIESEL_S10,10113,R$/l,2.430,0.122,2.049,3.100,0.271,0.050,2.159,0.088,1.874,2.653,0.041
15-06-2013,DIESEL,25620,R$/l,2.333,0.115,1.949,3.060,0.277,0.049,2.056,0.081,1.750,2.607,0.039
15-06-2013,DIESEL_S10,9446,R$/l,2.432,0.121,2.140,3.100,0.268,0.050,2.164,0.080,1.925,2.678,0.037
15-06-2013,ETANOL_HIDRATADO,32257,R$/l,1.943,0.297,1.290,3.160,0.329,0.153,1.614,0.285,1.159,2.501,0.177
15-06-2013,GASOLINA_COMUM,34590,R$/l,2.848,0.168,2.309,3.699,0.400,0.059,2.448,0.113,2.120,2.971,0.046
15-06-2013,GLP,32093,R$/13kg,40.908,4.189,27.000,62.000,10.887,0.102,30.021,4.644,15.870,45.000,0.155
15-06-2013,GNV,2071,R$/m3,1.786,0.164,1.350,2.799,0.423,0.092,1.363,0.162,0.952,2.221,0.119
15-07-2013,DIESEL,31274,R$/l,2.333,0.115,1.969,3.060,0.278,0.049,2.055,0.082,1.700,2.650,0.040
15-07-2013,DIESEL_S10,12136,R$/l,2.431,0.120,2.029,3.100,0.270,0.049,2.161,0.081,1.889,2.734,0.037
15-07-2013,ETANOL_HIDRATADO,39298,R$/l,1.918,0.301,1.290,3.120,0.303,0.157,1.615,0.267,1.159,2.501,0.165
15-07-2013,GASOLINA_COMUM,42206,R$/l,2.839,0.170,2.255,3.699,0.397,0.060,2.442,0.115,2.082,2.950,0.047
15-07-2013,GLP,38175,R$/13kg,40.899,4.237,27.000,62.000,10.699,0.104,30.200,4.645,14.660,45.000,0.154
15-07-2013,GNV,2512,R$/m3,1.792,0.163,1.379,2.799,0.412,0.091,1.380,0.165,0.938,1.949,0.120
15-08-2013,DIESEL,26091,R$/l,2.331,0.115,1.989,3.060,0.281,0.049,2.050,0.083,1.752,2.656,0.040
15-08-2013,DIESEL_S10,10755,R$/l,2.430,0.120,2.179,3.150,0.271,0.049,2.159,0.082,1.911,2.678,0.038
15-08-2013,ETANOL_HIDRATADO,33169,R$/l,1.902,0.303,1.259,3.120,0.325,0.159,1.577,0.275,1.154,2.396,0.174
15-08-2013,GASOLINA_COMUM,35609,R$/l,2.835,0.169,2.349,3.699,0.401,0.060,2.434,0.117,2.082,2.950,0.048
15-08-2013,GLP,33888,R$/13kg,40.975,4.248,27.000,62.000,10.958,0.104,30.017,4.853,14.660,45.000,0.162
15-08-2013,GNV,2135,R$/m3,1.785,0.170,1.399,2.799,0.403,0.095,1.382,0.164,0.930,1.949,0.119
15-09-2013,DIESEL,27230,R$/l,2.331,0.116,1.989,3.060,0.280,0.050,2.051,0.083,1.720,2.656,0.040
15-09-2013,DIESEL_S10,12131,R$/l,2.430,0.119,2.176,3.150,0.271,0.049,2.159,0.082,1.923,2.674,0.038
15-09-2013,ETANOL_HIDRATADO,34648,R$/l,1.895,0.302,1.279,3.020,0.310,0.159,1.585,0.258,1.184,2.515,0.163
15-09-2013,GASOLINA_COMUM,37335,R$/l,2.834,0.168,2.370,3.699,0.400,0.059,2.434,0.116,2.025,2.942,0.048
15-09-2013,GLP,33009,R$/13kg,41.532,4.391,26.000,62.000,11.579,0.106,29.953,5.039,14.660,45.000,0.168
15-09-2013,GNV,2236,R$/m3,1.787,0.177,1.399,2.699,0.413,0.099,1.374,0.184,1.000,2.265,0.134
15-10-2013,DIESEL,29298,R$/l,2.332,0.117,1.949,3.060,0.283,0.050,2.049,0.084,1.480,2.656,0.041
15-10-2013,DIESEL_S10,13591,R$/l,2.428,0.120,1.938,3.150,0.272,0.049,2.156,0.085,1.966,2.674,0.039
15-10-2013,ETANOL_HIDRATADO,37563,R$/l,1.914,0.289,1.396,2.999,0.289,0.151,1.625,0.239,1.219,2.456,0.147
15-10-2013,GASOLINA_COMUM,40480,R$/l,2.834,0.169,2.350,3.699,0.392,0.060,2.442,0.115,2.025,2.972,0.047
15-10-2013,GLP,38944,R$/13kg,42.112,4.323,26.000,62.000,11.894,0.103,30.218,5.192,14.660,45.000,0.172
15-10-2013,GNV,2461,R$/m3,1.790,0.180,1.389,2.699,0.413,0.101,1.377,0.188,1.011,2.265,0.137
15-11-2013,DIESEL,24764,R$/l,2.332,0.117,1.989,3.060,0.282,0.050,2.050,0.083,1.720,2.656,0.040
15-11-2013,DIESEL_S10,11969,R$/l,2.428,0.121,2.026,3.100,0.272,0.050,2.156,0.083,1.908,2.675,0.038
15-11-2013,ETANOL_HIDRATADO,32090,R$/l,1.932,0.282,1.379,2.999,0.292,0.146,1.640,0.232,1.230,2.416,0.141
15-11-2013,GASOLINA_COMUM,34574,R$/l,2.841,0.166,2.330,3.990,0.395,0.058,2.446,0.115,2.025,2.961,0.047
15-11-2013,GLP,31958,R$/13kg,42.337,4.390,28.000,62.000,11.988,0.104,30.349,5.233,15.930,45.000,0.172
15-11-2013,GNV,2072,R$/m3,1.792,0.181,1.389,2.699,0.414,0.101,1.378,0.188,1.011,2.265,0.136
15-12-2013,DIESEL,28394,R$/l,2.466,0.126,2.036,3.270,0.322,0.051,2.144,0.100,1.720,2.779,0.047
15-12-2013,DIESEL_S10,14626,R$/l,2.570,0.131,2.159,3.390,0.310,0.051,2.260,0.103,1.924,2.808,0.046
