MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO,PRECO_MEDIO_REVENDA_DEFLACIONADO
588,2016-10-31,OLEO_DIESEL,15364,R$/l,3.009,0.171,2.53,3.98,0.346,0.057,2.663,0.142,2.37,3.372,0.053,3.19798631578947
589,2016-11-30,OLEO_DIESEL,16532,R$/l,2.993,0.178,2.459,3.98,0.374,0.059,2.619,0.154,2.19,3.346,0.059,3.17258
590,2016-12-31,OLEO_DIESEL,14528,R$/l,3.024,0.192,2.459,4.07,0.406,0.063,2.618,0.163,2.18,3.389,0.062,3.20703157894737
591,2017-01-31,OLEO_DIESEL,16537,R$/l,3.092,0.192,2.459,4.22,0.376,0.062,2.716,0.152,2.19,3.442,0.056,3.24985473684211
592,2017-02-28,OLEO_DIESEL,12558,R$/l,3.098,0.192,2.55,4.22,0.395,0.062,2.703,0.149,2.19,3.442,0.055,3.22137649122807
593,2017-03-31,OLEO_DIESEL,16837,R$/l,3.05,0.202,2.459,4.22,0.428,0.066,2.622,0.155,2.233,3.281,0.059,3.16718421052632
594,2017-04-30,OLEO_DIESEL,14006,R$/l,3.015,0.201,2.48,4.22,0.437,0.067,2.578,0.144,2.211,3.221,0.056,3.13031052631579
595,2017-05-31,OLEO_DIESEL,16949,R$/l,3.017,0.197,2.48,4.22,0.406,0.065,2.611,0.136,2.22,3.23,0.052,3.1906098245614
596,2017-06-30,OLEO_DIESEL,14266,R$/l,2.985,0.204,2.459,4.22,0.432,0.068,2.553,0.149,2.11,3.21,0.058,3.20547105263158
597,2017-07-31,OLEO_DIESEL,14223,R$/l,2.971,0.219,2.39,4.27,0.474,0.074,2.497,0.166,2.04,3.195,0.066,3.22535929824561
598,2017-08-31,OLEO_DIESEL,8423,R$/l,3.102,0.213,2.45,4.37,0.404,0.069,2.698,0.173,2.09,3.44,0.064,3.40675789473684
599,2017-09-30,OLEO_DIESEL,7041,R$/l,3.173,0.205,2.64,4.47,0.384,0.065,2.789,0.162,2.208,3.52,0.058,3.47916666666667
600,2017-10-31,OLEO_DIESEL,8586,R$/l,3.223,0.195,2.699,4.47,0.356,0.061,2.867,0.135,2.34,3.56,0.047,3.50741561403509
601,2017-11-30,OLEO_DIESEL,7139,R$/l,3.29,0.209,2.789,4.47,0.363,0.064,2.927,0.146,2.41,3.702,0.05,3.56878421052632
602,2017-12-31,OLEO_DIESEL,6905,R$/l,3.323,0.205,2.89,4.47,0.378,0.062,2.945,0.147,2.133,3.726,0.05,3.57426543859649
603,2018-01-31,OLEO_DIESEL,15772,R$/l,3.375,0.202,2.799,4.49,0.363,0.06,3.012,0.153,2.49,3.812,0.051,3.5775
604,2018-02-28,OLEO_DIESEL,13194,R$/l,3.388,0.207,2.799,4.479,0.397,0.061,2.991,0.161,2.49,3.733,0.054,3.54610666666667
605,2018-03-31,OLEO_DIESEL,13454,R$/l,3.383,0.209,2.89,4.479,0.409,0.062,2.974,0.16,2.49,3.686,0.054,3.53671877192982
606,2018-04-30,OLEO_DIESEL,14351,R$/l,3.432,0.213,2.89,4.7,0.353,0.062,3.079,0.166,2.49,3.872,0.054,3.54941052631579
607,2001-07-31,GNV,474,R$/m3,0.73,0.03,0.509,0.799,0.249,0.042,0.481,0.088,0.252,0.661,0.183,2.28374736842105
608,2001-08-31,GNV,511,R$/m3,0.741,0.02,0.699,0.799,0.254,0.027,0.487,0.105,0.262,0.694,0.215,2.29892
609,2001-09-30,GNV,499,R$/m3,0.741,0.02,0.699,0.799,0.25,0.027,0.49,0.101,0.257,0.651,0.206,2.28098
610,2001-10-31,GNV,639,R$/m3,0.765,0.025,0.699,0.899,0.281,0.033,0.485,0.111,0.228,0.655,0.23,2.35069736842105
611,2001-11-30,GNV,534,R$/m3,0.78,0.021,0.699,0.899,0.277,0.027,0.503,0.116,0.228,0.706,0.231,2.38064210526316
612,2001-12-31,GNV,644,R$/m3,0.781,0.022,0.699,0.899,0.276,0.029,0.505,0.113,0.257,0.706,0.225,2.36862228070175
613,2002-01-31,GNV,714,R$/m3,0.782,0.026,0.699,0.899,0.277,0.033,0.505,0.116,0.248,0.755,0.23,2.36863684210526
614,2002-02-28,GNV,709,R$/m3,0.781,0.027,0.699,0.899,0.292,0.035,0.489,0.12,0.243,0.729,0.246,2.36067526315789
615,2002-03-31,GNV,788,R$/m3,0.781,0.033,0.67,0.949,0.297,0.042,0.484,0.127,0.268,0.779,0.262,2.35985315789474
616,2002-04-30,GNV,1053,R$/m3,0.788,0.039,0.65,0.949,0.315,0.05,0.473,0.132,0.259,0.779,0.279,2.37976
617,2002-05-31,GNV,1171,R$/m3,0.795,0.048,0.65,0.949,0.31,0.06,0.485,0.137,0.268,0.779,0.282,2.39308947368421
618,2002-06-30,GNV,941,R$/m3,0.794,0.047,0.65,0.949,0.311,0.059,0.484,0.137,0.244,0.78,0.284,2.37851754385965
619,2002-07-31,GNV,1384,R$/m3,0.82,0.065,0.669,0.989,0.328,0.079,0.492,0.142,0.245,0.86,0.288,2.43424912280702
620,2002-08-31,GNV,1263,R$/m3,0.825,0.07,0.599,0.989,0.323,0.085,0.502,0.149,0.27,0.799,0.298,2.42086842105263
621,2002-09-30,GNV,1056,R$/m3,0.826,0.071,0.49,0.989,0.321,0.086,0.505,0.148,0.27,0.799,0.294,2.39018315789474
622,2002-10-31,GNV,1160,R$/m3,0.833,0.063,0.679,0.998,0.308,0.076,0.525,0.143,0.27,0.8,0.271,2.37536526315789
623,2002-11-30,GNV,1019,R$/m3,0.898,0.081,0.679,1.068,0.362,0.09,0.537,0.143,0.27,0.818,0.267,2.49974842105263
624,2002-12-31,GNV,1269,R$/m3,0.937,0.053,0.769,1.06,0.343,0.057,0.594,0.158,0.27,0.853,0.266,2.52299578947368
625,2003-01-31,GNV,1085,R$/m3,1.029,0.094,0.799,1.199,0.395,0.092,0.635,0.164,0.313,0.97,0.259,2.70302052631579
626,2003-02-28,GNV,1082,R$/m3,1.071,0.066,0.849,1.399,0.375,0.061,0.696,0.181,0.33,0.999,0.26,2.76956842105263
627,2003-03-31,GNV,1143,R$/m3,1.07,0.07,0.876,1.399,0.363,0.065,0.707,0.168,0.33,1.089,0.238,2.72418245614035
628,2003-04-30,GNV,1366,R$/m3,1.068,0.073,0.876,1.448,0.345,0.069,0.723,0.16,0.378,1.13,0.222,2.69042315789474
629,2003-05-31,GNV,1176,R$/m3,1.066,0.075,0.899,1.399,0.348,0.071,0.717,0.159,0.38,1.13,0.222,2.66817929824561
630,2003-06-30,GNV,1344,R$/m3,1.063,0.077,0.899,1.399,0.355,0.072,0.707,0.16,0.38,1.09,0.227,2.66551912280702
631,2003-07-31,GNV,1520,R$/m3,1.061,0.079,0.87,1.399,0.353,0.074,0.708,0.16,0.405,1.09,0.226,2.67911807017544
632,2003-08-31,GNV,1294,R$/m3,1.058,0.082,0.799,1.399,0.356,0.077,0.702,0.159,0.388,1.09,0.227,2.67933859649123
633,2003-09-30,GNV,1663,R$/m3,1.06,0.082,0.859,1.399,0.348,0.077,0.712,0.157,0.405,1.09,0.22,2.67733684210526
634,2003-10-31,GNV,1549,R$/m3,1.062,0.083,0.83,1.399,0.342,0.078,0.72,0.153,0.405,1.09,0.213,2.66040315789474
635,2003-11-30,GNV,1479,R$/m3,1.064,0.077,0.799,1.399,0.354,0.073,0.71,0.156,0.405,1.09,0.22,2.65832
636,2003-12-31,GNV,1892,R$/m3,1.065,0.077,0.799,1.349,0.355,0.072,0.71,0.154,0.388,1.214,0.217,2.65166315789474
637,2004-01-31,GNV,1531,R$/m3,1.074,0.078,0.799,1.319,0.365,0.073,0.71,0.153,0.38,1.085,0.216,2.66257789473684
638,2004-02-29,GNV,1551,R$/m3,1.075,0.081,0.85,1.319,0.369,0.076,0.706,0.155,0.38,1.065,0.219,2.64846052631579
639,2004-03-31,GNV,1974,R$/m3,1.076,0.082,0.85,1.319,0.364,0.076,0.712,0.156,0.38,1.03,0.22,2.63789894736842
640,2004-04-30,GNV,1634,R$/m3,1.073,0.082,0.799,1.288,0.361,0.076,0.712,0.155,0.404,1.033,0.218,2.60927245614035
641,2004-05-31,GNV,1800,R$/m3,1.13,0.083,0.84,1.288,0.311,0.073,0.819,0.157,0.421,1.02,0.192,2.72389473684211
642,2004-06-30,GNV,2698,R$/m3,1.135,0.062,0.85,1.288,0.32,0.055,0.815,0.164,0.421,1.033,0.201,2.70986228070175
643,2004-07-31,GNV,2388,R$/m3,1.152,0.056,0.88,1.399,0.337,0.049,0.815,0.159,0.421,1.033,0.195,2.72256
644,2004-08-31,GNV,2904,R$/m3,1.15,0.059,0.88,1.399,0.332,0.051,0.818,0.154,0.41,1.041,0.188,2.69140350877193
645,2004-09-30,GNV,2714,R$/m3,1.151,0.062,0.92,1.399,0.338,0.054,0.813,0.151,0.421,1.041,0.186,2.66910842105263
646,2004-10-31,GNV,2597,R$/m3,1.151,0.067,0.899,1.399,0.337,0.058,0.814,0.151,0.44,1.041,0.186,2.65517526315789
647,2004-11-30,GNV,3175,R$/m3,1.091,0.063,0.899,1.399,0.391,0.058,0.7,0.15,0.44,1.279,0.214,2.5093
648,2004-12-31,GNV,2848,R$/m3,1.096,0.07,0.909,1.399,0.39,0.064,0.706,0.153,0.44,1.27,0.217,2.50503298245614
649,2005-01-31,GNV,3232,R$/m3,1.103,0.074,0.829,1.399,0.403,0.067,0.7,0.154,0.44,1.279,0.22,2.50671263157895
650,2005-02-28,GNV,2522,R$/m3,1.104,0.076,0.899,1.399,0.404,0.069,0.7,0.155,0.363,1,0.221,2.50143157894737
